,author id,author name,category name,description,duration,hits,publication_ts,title,video_url,channel_id,total_subs,channel_desc,num_of_videos,url,likes_count,comments_count
0,23666941,Тема Няшин,Психология,"Доброго времени суток, дорогие друзья. Разберемся сегодня с тем- что такое карма, принцип ее действия, историю появления и как карма может помочь вам изменить вашу и не только жизнь. Будет как всегда интересно, а главное полезно- поэтому досматривайте до конца и ставьте реакции! Приятного просмотра",392,42773,2024-05-22T18:11:13,ЧТО ТАКОЕ КАРМА И КАК ЭТО РАБОТАЕТ?,https://rutube.ru/video/dfe86c362b5d8f8b0227134275b3886c/,23666941,13127,"Спасибо за выбор моего канала, обещаю что тут будет много интересной и полезной инфы в доходчивом и простым для усвоения формате. Подпишись и будешь олдом! № 4908001881",156,https://rutube.ru/video/dfe86c362b5d8f8b0227134275b3886c/,4920.0,16.0
1,23666941,Тема Няшин,Психология,"Доброго времени суток, дорогие друзья. Разберемся сегодня с тем- что такое карма, принцип ее действия, историю появления и как карма может помочь вам изменить вашу и не только жизнь. Будет как всегда интересно, а главное полезно- поэтому досматривайте до конца и ставьте реакции! Приятного просмотра",392,42773,2024-05-22T18:11:13,ЧТО ТАКОЕ КАРМА И КАК ЭТО РАБОТАЕТ?,https://rutube.ru/video/dfe86c362b5d8f8b0227134275b3886c/,23666941,13127,"Спасибо за выбор моего канала, обещаю что тут будет много интересной и полезной инфы в доходчивом и простым для усвоения формате. Подпишись и будешь олдом! № 4908001881",156,https://rutube.ru/video/dfe86c362b5d8f8b0227134275b3886c/,4920.0,16.0
2,23547300,#МОНТЯН!,Интервью,"🏅 ПОДДЕРЖИТЕ КАНАЛ

• На «Патреоне» → https://patreon.com/join/montyan
• На «Бусти» → https://boosty.to/montyan
• На DonationAlerts → https://donationalerts.com/r/montyanofficial

✈️ МОИ ТЕЛЕГРАМ-КАНАЛЫ

• #МОНТЯН! → https://t.me/montyan2
• Фоточки #МОНТЯН! → https://t.me/montyanphotos
• #МОНТЯН! без купюр → https://t.me/montian_official2

🙏 ПОМОГИТЕ ДОНБАССУ → https://t.me/montyan2/4888

★ ★ ★

📍 ОБ ЭТОМ ВИДЕО

Специальный стрим посреди недели с Маней, на котором мы вместе рассказали о важном проекте. Ну и обсудили традиционно стопиццот других вещей. Живой стрим, как-никак.

★ ★ ★

ХОТИТЕ ЖИТЬ В СОГЛАСИИ С СОСЕДЯМИ?

Книга Элинор Остром «Управление общим» в моем профессиональном переводе на украинский и русский (с моим же автографом): https://forms.gle/XKgBKx2PU2bdYHCi7 — закажите и просвещайтесь, набирайтесь ценнейших знаний о том, как жить со своими соседями в мире и гармонии, если это возможно в принципе.",9336,92304,2024-05-22T18:49:48,#МОНТЯН В ЭФИРЕ: Зажигаем с Маней 🤩,https://rutube.ru/video/a27b21a2b6dc649849a4285e184ccd69/,23547300,83930,"УВЕДОМЛЕНИЕ № 035114 https://knd.gov.ru/license?id=6763bebf6aa9672b96eb7ccc&registryType=bloggersPermission  Канал адвоката Татьяны Монтян. Политическая сатира, интервью, лекции на тему ЖКХ, имущественных прав, управления общим.  Окажите посильную помощь мирным жителям Донбасса: → https://telegra.ph/Pomogite-Donbassu-05-25  Телеграм-канал → https://t.me/montyan2 Дзен-канал → https://dzen.ru/montyan2  Закрытый канал с уютным чатиком: • на «Телеграме» → https://t.me/donat_abc_bot • на «Патреоне» → https://www.patreon.com/join/montyan • на «Бусти» → https://boosty.to/montyan",595,,,
3,23547300,#МОНТЯН!,Интервью,"🏅 ПОДДЕРЖИТЕ КАНАЛ

• На «Патреоне» → https://patreon.com/join/montyan
• На «Бусти» → https://boosty.to/montyan
• На DonationAlerts → https://donationalerts.com/r/montyanofficial

✈️ МОИ ТЕЛЕГРАМ-КАНАЛЫ

• #МОНТЯН! → https://t.me/montyan2
• Фоточки #МОНТЯН! → https://t.me/montyanphotos
• #МОНТЯН! без купюр → https://t.me/montian_official2

🙏 ПОМОГИТЕ ДОНБАССУ → https://t.me/montyan2/4888

★ ★ ★

📍 ОБ ЭТОМ ВИДЕО

Специальный стрим посреди недели с Маней, на котором мы вместе рассказали о важном проекте. Ну и обсудили традиционно стопиццот других вещей. Живой стрим, как-никак.

★ ★ ★

ХОТИТЕ ЖИТЬ В СОГЛАСИИ С СОСЕДЯМИ?

Книга Элинор Остром «Управление общим» в моем профессиональном переводе на украинский и русский (с моим же автографом): https://forms.gle/XKgBKx2PU2bdYHCi7 — закажите и просвещайтесь, набирайтесь ценнейших знаний о том, как жить со своими соседями в мире и гармонии, если это возможно в принципе.",9336,92304,2024-05-22T18:49:48,#МОНТЯН В ЭФИРЕ: Зажигаем с Маней 🤩,https://rutube.ru/video/a27b21a2b6dc649849a4285e184ccd69/,23547300,83942,"УВЕДОМЛЕНИЕ № 035114 https://knd.gov.ru/license?id=6763bebf6aa9672b96eb7ccc&registryType=bloggersPermission  Канал адвоката Татьяны Монтян. Политическая сатира, интервью, лекции на тему ЖКХ, имущественных прав, управления общим.  Окажите посильную помощь мирным жителям Донбасса: → https://telegra.ph/Pomogite-Donbassu-05-25  Телеграм-канал → https://t.me/montyan2 Дзен-канал → https://dzen.ru/montyan2  Закрытый канал с уютным чатиком: • на «Телеграме» → https://t.me/donat_abc_bot • на «Патреоне» → https://www.patreon.com/join/montyan • на «Бусти» → https://boosty.to/montyan",595,,,
4,25364474,Кирилл Сарычев,Спорт,"Сегодня в выпуске немного рассказал о том, как сейчас тренируюсь, поделился секретами и планами.",919,10330,2024-05-21T18:00:03,Тренировка Сарычева,https://rutube.ru/video/fa71c30eb6c6905d8afa641986a1fbc6/,25364474,31633,"Регистрация в перечне РКН: https://clck.ru/3GSFyq Всем привет!  С Вами Кирилл Сарычев, амбассадор RUTUBE, и я рад Вас поприветствовать на моем первом и пока единственном канале на RUTUBE.  Большинство знают меня, как крепкого парня, организатора, Президента спортивной федерации и обладателя жима лежа 335кг, но здесь я буду показывать не только спорт.  На этом канале будут самые яркие события моей жизни: поездки нашей дружной командой, различные шоу, автомобили, невероятно интересные люди, вкусная еда и, конечно же, спорт. Подписывайся, скучно не будет!",78,https://rutube.ru/video/fa71c30eb6c6905d8afa641986a1fbc6/,231.0,21.0
5,25364474,Кирилл Сарычев,Спорт,"Сегодня в выпуске немного рассказал о том, как сейчас тренируюсь, поделился секретами и планами.",919,10330,2024-05-21T18:00:03,Тренировка Сарычева,https://rutube.ru/video/fa71c30eb6c6905d8afa641986a1fbc6/,25364474,31635,"Регистрация в перечне РКН: https://clck.ru/3GSFyq Всем привет!  С Вами Кирилл Сарычев, амбассадор RUTUBE, и я рад Вас поприветствовать на моем первом и пока единственном канале на RUTUBE.  Большинство знают меня, как крепкого парня, организатора, Президента спортивной федерации и обладателя жима лежа 335кг, но здесь я буду показывать не только спорт.  На этом канале будут самые яркие события моей жизни: поездки нашей дружной командой, различные шоу, автомобили, невероятно интересные люди, вкусная еда и, конечно же, спорт. Подписывайся, скучно не будет!",78,https://rutube.ru/video/fa71c30eb6c6905d8afa641986a1fbc6/,231.0,21.0
6,32078240,Егор Мисливец,Новости и СМИ,"Телеграм Мисливец Егор: https://t.me/socedinstvo
Телеграм Особое Мнение: https://t.me/osob_mnenie",621,30432,2024-05-22T18:24:37,Сводки с фронта. Скандал с обороной Харькова. Сдача территорий. Наступление на Харьков. Часов Яр,https://rutube.ru/video/0c0d34a49118d157d32b9cd48b4682f4/,32078240,70716,№ 4974982675,156,https://rutube.ru/video/0c0d34a49118d157d32b9cd48b4682f4/,1435.0,36.0
7,32078240,Егор Мисливец,Новости и СМИ,"Телеграм Мисливец Егор: https://t.me/socedinstvo
Телеграм Особое Мнение: https://t.me/osob_mnenie",621,30432,2024-05-22T18:24:37,Сводки с фронта. Скандал с обороной Харькова. Сдача территорий. Наступление на Харьков. Часов Яр,https://rutube.ru/video/0c0d34a49118d157d32b9cd48b4682f4/,32078240,70847,№ 4974982675,156,https://rutube.ru/video/0c0d34a49118d157d32b9cd48b4682f4/,1435.0,36.0
8,23463954,Телеканал ТНТ,Телепередачи,"Ведущие: Анна Хилькевич, Анжелика Стубайло, Антон Кутузов, Ариадна Тишова 

В этом выпуске: 
- Прожарка дня 
- Астрологический прогноз по знакам зодиака от Ксении Прошиной 
- Про закон: в каких случаях нужно заключать брачный договор? Юрист - Алексей Сиренко 
- Репортаж: ежегодная премия «Прорыв года»
- День Биткойн-пиццы 
- Прогноз погоды на день 
- ОСАГО на один день 
- Magnifica Cucina: итальянский мини-сериала, в котором шеф-повар Мирко Дзаго и нерадивая домохозяйка Катерина Решнова приготовят  - Буррито. 
- Про людей: как мы пустили кошек и собак к себе домой расскажет антрополог - Станислав Дробышевский",2310,47962,2024-05-22T07:00:05,"Утро ТНТ, 22 мая 2024. Гость программы — Анатолий Цой",https://rutube.ru/video/64de35c38dd13bd4ce85b433189f5c56/,23463954,933708,Официальный аккаунт телеканала ТНТ Регистрация в РКН: https://www.gosuslugi.ru/snet/67ad40513687544fb531d928,3320,https://rutube.ru/video/64de35c38dd13bd4ce85b433189f5c56/,54.0,20.0
9,23463954,Телеканал ТНТ,Телепередачи,"Ведущие: Анна Хилькевич, Анжелика Стубайло, Антон Кутузов, Ариадна Тишова 

В этом выпуске: 
- Прожарка дня 
- Астрологический прогноз по знакам зодиака от Ксении Прошиной 
- Про закон: в каких случаях нужно заключать брачный договор? Юрист - Алексей Сиренко 
- Репортаж: ежегодная премия «Прорыв года»
- День Биткойн-пиццы 
- Прогноз погоды на день 
- ОСАГО на один день 
- Magnifica Cucina: итальянский мини-сериала, в котором шеф-повар Мирко Дзаго и нерадивая домохозяйка Катерина Решнова приготовят  - Буррито. 
- Про людей: как мы пустили кошек и собак к себе домой расскажет антрополог - Станислав Дробышевский",2310,47962,2024-05-22T07:00:05,"Утро ТНТ, 22 мая 2024. Гость программы — Анатолий Цой",https://rutube.ru/video/64de35c38dd13bd4ce85b433189f5c56/,23463954,934273,Официальный аккаунт телеканала ТНТ Регистрация в РКН: https://www.gosuslugi.ru/snet/67ad40513687544fb531d928,3320,https://rutube.ru/video/64de35c38dd13bd4ce85b433189f5c56/,54.0,20.0
